"","recordedBy","first_record","last_record","observations","activity_time","observations_by_time","user_category"
"35","Alvaro Jaramillo","2023-12-01T11:59:23","2023-12-04T11:53:41",2,4,0.5,"beginner"
"36","Amanda Whitmire","2022-10-16T11:43:37","2022-10-16T11:43:37",1,1,1,"beginner"
"37","Ana","2021-09-27T10:20:02","2023-06-02T15:41:11",36,614,0.0586319218241042,"beginner"
"38","Ana Lucas Rosso","2020-02-11T10:32:58","2020-02-11T10:32:58",1,1,1,"beginner"
"39","Ana Lucia Grattarola","2021-12-21T18:16:16","2021-12-21T18:16:16",1,1,1,"beginner"
"40","Ana Rodriguez","2021-08-06T11:22:30","2024-04-05T15:53",36,974,0.0369609856262834,"beginner"
"41","Analaura Antúnez","2020-05-30T11:18","2021-03-27T14:44:47",2,302,0.00662251655629139,"beginner"
"42","Andrea","2018-07-16T08:51","2021-12-28T10:05:29",25,1262,0.0198098256735341,"beginner"
"43","Andrea Faggiani","2017-11-26T15:13","2017-11-26T15:13",1,1,1,"beginner"
"44","Andrea Meynet","2021-10-11T08:40:43","2024-03-14T17:57:32",49,886,0.0553047404063205,"beginner"
"45","Andreina","2024-03-14T14:07","2024-03-14T14:07",1,1,1,"beginner"
"46","Andres Cavallo","2020-05-23T16:29:41","2024-02-17T17:18:48",104,1366,0.0761346998535871,"beginner"
"47","Andrew Gant","2012-12-22T20:23:08","2022-02-01T12:03:52",39,3329.04166666667,0.0117150831695808,"beginner"
"48","Andrès Costa","2018-03-24T00:08","2023-04-08T02:13",616,1842,0.334419109663409,"intermediate"
"49","Andrés Fernández","2016-11-21T12:51","2024-04-07T08:58",260,2695,0.0964749536178108,"beginner"
"50","Andrés Pautasso","2019-01-27","2019-01-27",1,1,1,"beginner"
"51","Andrés Silva","2023-01-11T21:45:02","2023-01-11T21:45:02",1,1,1,"beginner"
"52","Angeles Bordagorry","2019-08-05T07:31","2020-08-05T16:49",2,367,0.00544959128065395,"beginner"
"53","Antonella Escola","2022-10-31T14:39","2024-03-26T14:06:12",5,513,0.00974658869395711,"beginner"
"54","Antonio Malanga","2022-02-19T18:43:13","2022-02-19T18:43:13",1,1,1,"beginner"
