"taxon_class_name","taxon_species_name","Distribution","Size","IUCNglobal","remarks"
"Aves","Synallaxis spixi",19,15,"LC",
"Aves","Syndactyla rufosuperciliata",19,16,"LC",
"Aves","Syrigma sibilatrix",19,48,"LC",
"Aves","Systellura longirostris",12,23,"LC",
"Aves","Tachuris rubrigastra",16,10,"LC",
"Aves","Tachybaptus dominicus",9,21,"LC",
"Aves","Tachycineta leucopyga",14,13,"LC",
"Aves","Tachycineta leucorrhoa",19,13,"LC",
"Aves","Tachyphonus coronatus",5,16,"LC",
"Aves","Tapera naevia",19,28,"LC",
"Aves","Thalassarche chlororhynchos",6,81,"EN",
"Aves","Thalassarche melanophris",6,90,"LC",
"Aves","Thalasseus elegans",1,40,"NT",
"Aves","Thalasseus maximus",8,44,"LC",
"Aves","Thalasseus sandvicensis",9,40,"LC",
"Aves","Thamnophilus caerulescens",19,13,"LC",
"Aves","Thamnophilus ruficapillus",19,16,"LC",
"Aves","Theristicus caerulescens",19,62,"LC",
"Aves","Theristicus caudatus",19,57,"LC",
"Aves","Thinocorus rumicivorus",8,19,"LC",
"Aves","Thraupis sayaca",19,15,"LC",
"Aves","Tigrisoma lineatum",19,62,"LC",
"Aves","Tolmomyias sulphurescens",1,13,"LC",
"Aves","Tringa flavipes",19,25,"LC",
"Aves","Tringa melanoleuca",19,33,"LC",
"Aves","Tringa solitaria",19,20,"LC",
"Aves","Troglodytes aedon",19,10,"LC",
"Aves","Trogon surrucura",2,24,"LC",
"Aves","Turdus albicollis",19,19,"LC",
"Aves","Turdus amaurochalinus",19,21,"LC",
"Aves","Turdus flavipes",1,21,"LC",
"Aves","Turdus leucomelas",2,21,"LC",
"Aves","Turdus rufiventris",19,23,"LC",
"Aves","Turdus subalaris",6,20,"LC",
"Aves","Tyrannus melancholicus",19,20,"LC",
"Aves","Tyrannus savana",19,38,"LC",
"Aves","Tyrannus tyrannus",1,18,"LC",
"Aves","Tyto alba",19,38,"LC",
"Aves","Vanellus chilensis",19,32,"LC",
"Aves","Vireo chivi",19,14,"LC",
"Aves","Volatinia jacarina",19,10,"LC",
"Aves","Xanthopsar flavus",12,19,"VU",
"Aves","Xenopsaris albinucha",3,13,"LC",
"Aves","Xolmis irupero",19,17,"LC",
"Aves","Zenaida auriculata",19,23,"LC",
"Aves","Zonibyx modestus",19,19,"LC",
"Aves","Zonotrichia capensis",19,12,"LC",
"Mammalia","Akodon azarae",19,17,"LC",
"Mammalia","Arctocephalus australis",7,150,"LC",
"Mammalia","Arctocephalus gazella",2,150,"LC",
"Mammalia","Arctocephalus tropicalis",3,16,"LC",
"Mammalia","Axis axis",13,140,"LC",
"Mammalia","Balaenoptera acutorostrata",6,625,"LC",
"Mammalia","Cabassous tatouay",4,70,"LC",
"Mammalia","Calomys laucha",19,13,"LC",
"Mammalia","Capra hircus",12,125,"NE",
"Mammalia","Cavia aperea",19,24,"LC",
"Mammalia","Cerdocyon thous",19,110,"LC",
"Mammalia","Chrysocyon brachyurus",8,145,"NT",
"Mammalia","Coendou spinosus",7,72,"LC",
"Mammalia","Conepatus chinga",19,57,"LC",
"Mammalia","Ctenomys pearsoni",6,26,"NT",
"Mammalia","Ctenomys rionegrensis",1,18,"EN",
"Mammalia","Ctenomys torquatus",12,26,"LC",
"Mammalia","Cuniculus paca",1,65,"LC",
"Mammalia","Dama dama",1,145,"LC",
"Mammalia","Dasypus novemcinctus",19,70,"LC",
"Mammalia","Dasypus septemcinctus",19,45,"LC",
"Mammalia","Delphinus delphis",3,230,"LC",
"Mammalia","Desmodus rotundus",19,9,"LC",
"Mammalia","Didelphis albiventris",19,90,"LC",
"Mammalia","Eptesicus furinalis",19,11,"LC",
"Mammalia","Eubalaena australis",4,1400,"LC",
"Mammalia","Eumops bonariensis",19,11,"LC",
"Mammalia","Euphractus sexcinctus",19,62,"LC",
"Mammalia","Galictis cuja",19,62,"LC",
"Mammalia","Histiotus montanus",19,11,"LC",
"Mammalia","Holochilus brasiliensis",19,39,"LC",
"Mammalia","Hydrochoerus hydrochaeris",19,115,"LC",
"Mammalia","Lagenodelphis hosei",5,235,"LC",
"Mammalia","Lasiurus blossevillii",19,10,"LC",
"Mammalia","Lasiurus cinereus",19,12,"LC",
"Mammalia","Lasiurus ega",19,12,"LC",
"Mammalia","Leopardus geoffroyi",19,90,"LC",
"Mammalia","Leopardus wiedii",8,102,"NT",
"Mammalia","Lepus europaeus",19,65,"LC",
